ip,asn,org,country,ports,domains
103.82.25.233,AS135905,Phong Thuy media joint stock company,VN,443,bitdigi.vn;mail.bitdigi.vn
103.84.137.243,AS137995,"Hong Kong SY  Technology co.,Ltd.",HK,443,mail.x-az.com;x-az.com
103.88.243.135,AS9123,TimeWeb Ltd.,RU,443,mail.mesh-ez.ru;mesh-ez.ru
103.90.225.52,AS135905,Vietnix cloud company limited,VN,80,mail.pomax.vn;pomax.vn
103.90.73.134,AS216154,CLODO CLOUD SERVICE CO. L.L.C,NL,443,ak17mrka.com
103.95.196.75,AS135918,VIET DIGITAL TECHNOLOGY LIABILITY COMPANY,VN,443,mail.mindfc.net;mindfc.net
104.128.190.17,AS42831,365 Group LLC,GB,443,mail.mrsk.cc;mrsk.cc
104.128.65.228,AS36007,Cloud Web Manage,US,443,mail.silvereon.com;silvereon.com;www.silvereon.com
104.131.40.175,AS14061,"DigitalOcean, LLC",US,8443,autoconfig.scummbox.org;mx.scummbox.org;scummbox.org
104.152.209.237,AS26832,Rica Web Services,CA,443,bunny.cafe;cidoku.net;mail.bunny.cafe;mail.cidoku.net;mail.matemancia.net;mail.mortem.technology;matemancia.net;mortem.technology
104.152.49.239,AS203380,AlphaVPS LLC,DE,443,mahasky.com;mail.mahasky.com;mx1.mahasky.com
104.153.66.91,AS29889,"Fast Serv Networks, LLC",US,8002,
104.156.246.42,AS20473,"Vultr Holdings, LLC",US,443,litigiovirtual.com;mail.litigiovirtual.com
104.167.197.37,AS49791,3HCLOUD LLC,US,443,harun.men;mail.harun.men
104.168.122.110,AS36352,RackNerd LLC,US,443,mail.rica.ovh;rica.ovh
104.168.13.58,AS36352,RackNerd LLC,US,10443;443,104-168-13-58-host.colocrossing.com;benxh.top;colocrossing.com;mail.benxh.top
104.168.134.73,AS54290,Hostwinds Seattle,US,443,desertwave.com;epoch.desertwave.com;hostwinds.desertwave.com;mail.desertwave.com
104.168.142.164,AS54290,Hostwinds Seattle,US,80,hostwindsdns.com;hwsrv-1278827.hostwindsdns.com
104.168.145.39,AS54290,Hostwinds Seattle,US,443,mail.ruancc.com;ruancc.com
104.168.68.20,AS36352,RackNerd LLC,US,443,activesync.vlad.net;autodiscover.vlad.net;border.vlad.net;vlad.net
104.168.82.189,AS36352,RackNerd LLC,US,443,104-168-82-189-host.colocrossing.com;colocrossing.com;hlison.com;mail.hlison.com
104.168.9.126,AS36352,RackNerd LLC,US,443,datass.org;mail.datass.org;mail.nepamesh.com;mail.preparetodiemysteries.com;mail.thinkleet.net;nepamesh.com;preparetodiemysteries.com;thinkleet.net
104.168.98.186,AS36352,HostPapa,US,443,eton142.org;mail.eton142.org
104.193.109.108,AS63410,PrivateSystems Networks GA,US,443,coding.media;mail.coding.media
104.197.250.50,AS396982,Google LLC,US,443,50.250.197.104.bc.googleusercontent.com;applemail.deviitor.com;bettermoveco.com;cargo-drive.com;deviitor.com;googleusercontent.com;mail.bettermoveco.com;mail.cargo-drive.com;mail.deviitor.com;mail.newautomart.lk;newautomart.lk
104.199.167.222,AS396982,Google LLC,TW,443,222.167.199.104.bc.googleusercontent.com;flowring.dev;googleusercontent.com;mail.flowring.dev
104.200.18.251,AS63949,Linode,US,443,cheetahfox.com;mail.cheetahfox.com
104.207.64.223,,U.S. Marshals Service in accordance with the Final Order of Forfeiture,US,8443,bonusearn.com;exclusive-rust.rdns.hosting.spaceship.net;mail.bonusearn.com;spaceship.net
104.218.18.140,AS19969,CyberCloud Professionals LLC,US,443,mail.meticulouswebdesign.com;meticulouswebdesign.com
104.223.108.233,,VentureNode LLC,US,443,datavault.host;mail.datavault.host;sangiovannirotondo.net
104.224.153.97,AS25820,IT7 Networks Inc,US,443;5080,autoconfig.hooo.in;autodiscover.hooo.in;hooo.in;mail.hooo.in;mta-sts.hooo.in
104.224.177.230,AS25820,IT7 Networks Inc,US,443,mail.nativeng.org;nativeng.org
104.225.140.164,AS396949,Cloud Web Manage,US,443,mail.orca-test.com;orca-test.com
104.225.141.245,AS396949,Cloud Web Manage,US,443,mail.sethratner.com;sethratner.com
104.225.219.159,AS29802,"Strasmore, Inc.",US,443,buxtonlabs.com;mail.buxtonlabs.com
104.225.220.215,AS29802,"Strasmore, Inc.",US,443,antiantichrist.uk;arcadianred.com;mail.antiantichrist.uk;mail.arcadianred.com;mail.matthewroy.uk;mail.mroy.uk;mail.pentiva.uk;mail.zealousbird.com;matthewroy.uk;mroy.uk;pentiva.uk;zealousbird.com
104.225.250.100,AS53340,"VegasNAP, LLC",US,443;8001,mail.trueserve.org;mail.whiskeypirates.com;trueserve.org;whiskeypirates.com
104.236.1.31,AS14061,"DigitalOcean, LLC",US,443,korzh.us
104.236.234.254,AS14061,"DigitalOcean, LLC",US,443,mail.sgrede.com;sgrede.com
104.236.43.142,AS14061,"DigitalOcean, LLC",US,443,housh.email;shell.housh.email
104.236.80.252,AS14061,"DigitalOcean, LLC",US,443,loudmusic.io;mailserver.loudmusic.io
104.237.128.21,AS63949,Linode,US,443,mail.teatrogalerias.net;teatrogalerias.net
104.238.214.205,AS36007,Cloud Web Manage,US,443,borchert.life;mail.borchert.life
